16 a. namų valda;Alytus, Vidzgirio g.;249 000 €
Rąstinė sodyba Šakių r. Lukšių sen.;Šakių raj., Stalioriai;49 000 €
Skubiai neįrengtą namą Marijampolėje Kaiščiunu gyvenvietėje 064509793;Kaunas, Kaisčiunų gyvenvietė;
Pard.Vilkaviškio Rajone Mūrinis Namas Su Ūkiniais Pastatais, Žemės Sklypu 25,13a;Vilkaviškio raj., Matlaukio gyv.;22 500 €
Parduodamas gyvenamasis namas Alytuje, Senamiestyje, Vidzgirio g.;Alytus, Vidzgirio g.;249 000 €
Parduodamas gyvenamasis namas Pasvalio rajone, Vilkiškių kaime, Svalios g. 8;Pasvalio raj., Vilkiškių k ...;21 000 €
PUIKIAI ĮRENGTAS NAMAS Ignalinos r.;Ignalinos raj., Rimšė;110 000 €
Sodyba/vienkiemis Joniškio r. sav.;Joniškio raj.;42 000 €
Renovuota Sodyba - vienkiemis Jurbarko raj.;Jurbarko raj.;39 000 €
Namas Teizų k. Lazdijų raj.;Lazdijai;28 000 €
Sodo namas Radviliškyje;Radviliškis;41 000 €
Išskirtinis sklypas su poilsio namu ežero pakrantėje;Zarasai;39 900 €
Puikiai atnaujintas Namas Alytaus r.;Alytaus raj., Balkūnų k;94 000 €
PARDUODAMA SODYBA ANYKŠČIŲ R. SAV.;Anykščių raj., Šližių k.;20 000 €
Puikiai įrengtas gyvenamas sodo namas Kauno r. sav.,;Kauno raj., Gervenupis;79 000 €
Erdvus NAMAS šalia Miško;Panevėžys;143 000 €
Mūrinis namas Marijampolės r. Varnupių k.;;15 000 €
Namas Prienu sav., Lielioniu k.;Prienų raj.;32 000 €
Apmūrytas namas Radviliškio rajone, Baisogaloje;Radviliškio raj., Baisogala;20 000 €
NAMAS SU PRŪDU VILKAVIŠKIO RAJ.;Vilkaviškio raj., Dailuciai;30 800 €
Įrenginėjamas mūrinis namas Kėdainių r.;Kėdainių raj., Pašušvė;22 999 €
Namas - Lazdiju r. Rudaminoje;Lazdijų raj., Rudamina;34 000 €
Mūrinis namas su dirbtuvėmis Mažeikių raj.;Mažeikių raj., Viekšniai;52 000 €
Sodyba Kretingos rajone, Erlėnų k;Kretingos raj., Erlenai;25 000 €
Rąstinis namas Pasvalio r. Mitrišiūnų k.;Pasvalio raj.;25 000 €
